Time,Red_light,IR_light,HR,HRvalid,SpO2,SpO2Valid
1741548599.0577111,189044.0,244568.0,83.0,1.0,89.0,1.0
1741548599.1751661,189067.0,244589.0,83.0,1.0,89.0,1.0
1741548599.2525942,189066.0,244582.0,83.0,1.0,89.0,1.0
1741548599.3723328,189068.0,244586.0,83.0,1.0,89.0,1.0
1741548599.4563413,189030.0,244439.0,83.0,1.0,89.0,1.0
1741548599.5738513,188982.0,244450.0,83.0,1.0,89.0,1.0
1741548599.6537018,188994.0,244493.0,83.0,1.0,89.0,1.0
1741548599.7732744,188991.0,244540.0,83.0,1.0,89.0,1.0
1741548599.8546567,188991.0,244600.0,83.0,1.0,89.0,1.0
1741548599.974212,188992.0,244561.0,83.0,1.0,89.0,1.0
1741548600.0556405,188975.0,244319.0,83.0,1.0,89.0,1.0
1741548600.1773946,188956.0,244416.0,83.0,1.0,89.0,1.0
1741548600.2568638,188969.0,244429.0,166.0,1.0,98.0,1.0
1741548600.375262,188954.0,244446.0,166.0,1.0,98.0,1.0
1741548600.4570692,188923.0,244471.0,166.0,1.0,98.0,1.0
1741548600.5759995,188944.0,244399.0,166.0,1.0,98.0,1.0
1741548600.6606476,188880.0,244271.0,166.0,1.0,98.0,1.0
