Time,Red_light,IR_light,HR,HRvalid,SpO2,SpO2Valid
1741547991.3972876,3113.0,2426.0,250.0,1.0,84.0,1.0
1741547991.5143192,3090.0,2408.0,250.0,1.0,84.0,1.0
1741547991.5986698,3089.0,2409.0,250.0,1.0,84.0,1.0
1741547991.7140522,3085.0,2391.0,250.0,1.0,84.0,1.0
1741547991.797784,3091.0,2405.0,250.0,1.0,84.0,1.0
1741547991.9146235,3085.0,2410.0,250.0,1.0,84.0,1.0
1741547992.0004256,3081.0,2389.0,250.0,1.0,84.0,1.0
1741547992.1208146,3071.0,2389.0,250.0,1.0,84.0,1.0
1741547992.2002618,3086.0,2414.0,250.0,1.0,84.0,1.0
1741547992.3237498,3084.0,2406.0,250.0,1.0,84.0,1.0
1741547992.3968644,3089.0,2424.0,250.0,1.0,84.0,1.0
1741547992.515722,3100.0,2398.0,250.0,1.0,84.0,1.0
1741547992.5946767,3090.0,2407.0,250.0,1.0,84.0,1.0
1741547992.7152746,3086.0,2411.0,250.0,1.0,84.0,1.0
1741547992.8023505,3078.0,2397.0,250.0,1.0,84.0,1.0
1741547992.9172945,3074.0,2407.0,250.0,1.0,84.0,1.0
1741547992.995656,3089.0,2410.0,187.0,1.0,-999.0,0.0
1741547993.117509,3077.0,2405.0,187.0,1.0,-999.0,0.0
1741547993.196091,3082.0,2416.0,187.0,1.0,-999.0,0.0
1741547993.3173158,3087.0,2421.0,187.0,1.0,-999.0,0.0
