Time,Red_light,IR_light,HR,HRvalid,SpO2,SpO2Valid
1741385919.9921193,198805.0,252669.0,-999.0,0.0,-999.0,0.0
1741385920.113646,198778.0,252658.0,-999.0,0.0,-999.0,0.0
1741385920.1986895,198809.0,252737.0,-999.0,0.0,-999.0,0.0
1741385920.314886,198818.0,252734.0,-999.0,0.0,-999.0,0.0
1741385920.3925707,198785.0,252793.0,-999.0,0.0,-999.0,0.0
1741385920.5148642,198774.0,252722.0,-999.0,0.0,-999.0,0.0
1741385920.5938783,198766.0,252686.0,-999.0,0.0,-999.0,0.0
1741385920.7146475,198766.0,252758.0,-999.0,0.0,-999.0,0.0
1741385920.7938852,198795.0,252770.0,166.0,1.0,-999.0,0.0
1741385920.9139948,198789.0,252776.0,166.0,1.0,-999.0,0.0
1741385920.9943242,198753.0,252792.0,166.0,1.0,-999.0,0.0
1741385921.122298,198726.0,252864.0,166.0,1.0,-999.0,0.0
1741385921.1957626,198727.0,252776.0,166.0,1.0,-999.0,0.0
1741385921.3173823,198649.0,252743.0,166.0,1.0,-999.0,0.0
1741385921.3934495,198625.0,252688.0,166.0,1.0,-999.0,0.0
1741385921.5141308,198647.0,252772.0,166.0,1.0,-999.0,0.0
1741385921.6009367,198704.0,252760.0,166.0,1.0,-999.0,0.0
1741385921.7189972,198704.0,252850.0,166.0,1.0,-999.0,0.0
1741385921.8006394,198741.0,252904.0,166.0,1.0,-999.0,0.0
1741385921.9161358,198758.0,252775.0,166.0,1.0,-999.0,0.0
1741385922.0024128,198752.0,252846.0,166.0,1.0,-999.0,0.0
1741385922.1208777,198753.0,252844.0,166.0,1.0,-999.0,0.0
1741385922.1977134,198736.0,252856.0,166.0,1.0,-999.0,0.0
1741385922.3174415,198717.0,252853.0,166.0,1.0,-999.0,0.0
1741385922.395275,198696.0,252886.0,166.0,1.0,-999.0,0.0
1741385922.5146868,198712.0,252897.0,166.0,1.0,-999.0,0.0
