Time,Red_light,IR_light,SpO2,SpO2Valid
1743802681.4880776,34845.0,27435.0,99.0,1.0
1743802681.6142073,34949.0,27504.0,99.0,1.0
1743802681.6887274,34922.0,27557.0,99.0,1.0
1743802681.816019,34940.0,27521.0,99.0,1.0
1743802681.890565,34956.0,27474.0,99.0,1.0
1743802682.007257,34877.0,27351.0,99.0,1.0
1743802682.092462,34882.0,27406.0,99.0,1.0
1743802682.2099407,34924.0,27464.0,99.0,1.0
1743802682.2950218,34966.0,27508.0,99.0,1.0
1743802682.4119234,34997.0,27533.0,99.0,1.0
1743802682.490921,35001.0,27558.0,99.0,1.0
1743802682.619127,34988.0,27566.0,99.0,1.0
1743802682.6938117,34972.0,27223.0,99.0,1.0
1743802682.8173087,34878.0,27245.0,99.0,1.0
1743802682.8934097,34892.0,27277.0,99.0,1.0
1743802683.01057,34943.0,27371.0,99.0,1.0
1743802683.0956979,34946.0,27443.0,99.0,1.0
1743802683.212192,34992.0,27485.0,99.0,1.0
1743802683.2975495,34995.0,27518.0,99.0,1.0
1743802683.4151335,34992.0,27316.0,99.0,1.0
1743802683.4900084,34830.0,27083.0,99.0,1.0
1743802683.6220937,34881.0,27266.0,99.0,1.0
1743802683.697115,34899.0,27382.0,99.0,1.0
1743802683.8141406,34976.0,27454.0,99.0,1.0
1743802683.9001186,35003.0,27538.0,99.0,1.0
1743802684.0172813,35066.0,27590.0,99.0,1.0
1743802684.0937886,35043.0,27580.0,99.0,1.0
1743802684.2150524,35033.0,27405.0,99.0,1.0
1743802684.3015845,34870.0,27132.0,99.0,1.0
1743802684.4224846,34901.0,27289.0,99.0,1.0
1743802684.498593,34921.0,27383.0,99.0,1.0
1743802684.6166856,34962.0,27445.0,99.0,1.0
1743802684.702602,34987.0,27492.0,99.0,1.0
1743802684.820924,35029.0,27522.0,99.0,1.0
1743802684.8951402,35014.0,27594.0,99.0,1.0
1743802685.019184,35020.0,27357.0,99.0,1.0
1743802685.1036754,34885.0,27151.0,99.0,1.0
1743802685.221483,34895.0,27332.0,99.0,1.0
1743802685.2981625,34980.0,27423.0,99.0,1.0
1743802685.419922,35018.0,27504.0,99.0,1.0
1743802685.503083,35041.0,27563.0,99.0,1.0
1743802685.620349,35062.0,27585.0,99.0,1.0
1743802685.7061598,35072.0,27620.0,99.0,1.0
1743802685.822314,35065.0,27446.0,99.0,1.0
1743802685.8995337,34884.0,27135.0,99.0,1.0
1743802686.0181756,34921.0,27287.0,99.0,1.0
1743802686.1069903,34931.0,27404.0,99.0,1.0
1743802686.2258651,35008.0,27467.0,99.0,1.0
1743802686.3010955,35029.0,27526.0,99.0,1.0
1743802686.4275303,35043.0,27596.0,99.0,1.0
1743802686.502131,35070.0,27637.0,99.0,1.0
1743802686.6227381,35091.0,27668.0,99.0,1.0
1743802686.709186,35034.0,27201.0,99.0,1.0
1743802686.8267229,34962.0,27319.0,99.0,1.0
1743802686.9023652,35017.0,27366.0,99.0,1.0
1743802687.0239046,35082.0,27474.0,99.0,1.0
1743802687.1088727,35089.0,27564.0,99.0,1.0
1743802687.2248993,35128.0,27643.0,99.0,1.0
1743802687.3134198,35110.0,27666.0,99.0,1.0
1743802687.4303126,35134.0,27694.0,99.0,1.0
1743802687.5064054,35133.0,27604.0,99.0,1.0
1743802687.6252346,34934.0,27288.0,99.0,1.0
1743802687.7130308,35005.0,27440.0,99.0,1.0
1743802687.8313453,35098.0,27571.0,99.0,1.0
1743802687.906927,35095.0,27542.0,99.0,1.0
1743802688.0263221,35135.0,27621.0,99.0,1.0
1743802688.1126366,35125.0,27648.0,99.0,1.0
1743802688.2315493,35121.0,27697.0,99.0,1.0
1743802688.3065403,35124.0,27608.0,99.0,1.0
1743802688.4278383,34905.0,27237.0,99.0,1.0
1743802688.5149345,34956.0,27363.0,99.0,1.0
1743802688.6328027,35083.0,27481.0,99.0,1.0
1743802688.716949,35088.0,27560.0,99.0,1.0
1743802688.8273416,35149.0,27656.0,99.0,1.0
1743802688.9177446,35197.0,27707.0,99.0,1.0
1743802689.0302548,35165.0,27738.0,99.0,1.0
1743802689.1182072,35184.0,27606.0,99.0,1.0
1743802689.2356827,34974.0,27264.0,99.0,1.0
1743802689.311389,35016.0,27344.0,99.0,1.0
1743802689.4330454,35072.0,27483.0,97.0,1.0
1743802689.519093,35087.0,27589.0,97.0,1.0
1743802689.6386297,35169.0,27681.0,97.0,1.0
1743802689.7152717,35195.0,27717.0,97.0,1.0
1743802689.8342233,35223.0,27741.0,97.0,1.0
1743802689.9208279,35162.0,27456.0,97.0,1.0
1743802690.0392218,35046.0,27438.0,97.0,1.0
1743802690.1146455,35173.0,27648.0,97.0,1.0
1743802690.2325246,35243.0,27760.0,97.0,1.0
1743802690.319979,35259.0,27772.0,97.0,1.0
1743802690.440352,35311.0,27871.0,97.0,1.0
1743802690.5161972,35324.0,27900.0,97.0,1.0
1743802690.6341407,35326.0,27908.0,97.0,1.0
1743802690.7230644,35270.0,27470.0,97.0,1.0
1743802690.8419607,35167.0,27561.0,97.0,1.0
1743802690.9184775,35207.0,27680.0,97.0,1.0
1743802691.0369384,35297.0,27701.0,97.0,1.0
1743802691.1254272,35305.0,27817.0,97.0,1.0
1743802691.2392988,35369.0,27861.0,97.0,1.0
1743802691.3261707,35365.0,27898.0,97.0,1.0
1743802691.4434412,35373.0,27812.0,97.0,1.0
1743802691.5206342,35185.0,27371.0,97.0,1.0
1743802691.640487,35158.0,27517.0,97.0,1.0
1743802691.7281523,35205.0,27591.0,97.0,1.0
1743802691.8389523,35203.0,27580.0,97.0,1.0
1743802691.929475,35210.0,27669.0,97.0,1.0
1743802692.03979,35251.0,27746.0,97.0,1.0
1743802692.126093,35252.0,27748.0,97.0,1.0
1743802692.2477236,35183.0,27252.0,97.0,1.0
1743802692.324224,35006.0,27224.0,97.0,1.0
