Time,Red_light,IR_light,SpO2,SpO2Valid
1743803010.1203685,39774.0,29190.0,99.0,1.0
1743803010.2463186,39766.0,29158.0,99.0,1.0
1743803010.3198936,39723.0,29023.0,99.0,1.0
1743803010.4478996,39699.0,29006.0,99.0,1.0
1743803010.5246036,39663.0,28827.0,99.0,1.0
1743803010.6433327,39142.0,28000.0,99.0,1.0
1743803010.7202406,38259.0,27752.0,99.0,1.0
1743803010.84692,36623.0,26317.0,99.0,1.0
1743803010.9252858,36413.0,26577.0,99.0,1.0
1743803011.0497346,37965.0,27339.0,99.0,1.0
1743803011.1248739,38647.0,27459.0,99.0,1.0
1743803011.2446227,39152.0,27826.0,99.0,1.0
1743803011.3302233,39320.0,28027.0,99.0,1.0
1743803011.4484205,39440.0,28296.0,99.0,1.0
1743803011.5237176,39544.0,28526.0,99.0,1.0
1743803011.6451561,39699.0,28784.0,99.0,1.0
1743803011.7258797,39802.0,28925.0,99.0,1.0
1743803011.844931,39788.0,28780.0,99.0,1.0
1743803011.9255028,39810.0,28816.0,99.0,1.0
1743803012.0557668,39851.0,28876.0,99.0,1.0
1743803012.1305344,39845.0,28893.0,99.0,1.0
1743803012.2477884,39847.0,28926.0,99.0,1.0
1743803012.3267531,39912.0,29027.0,99.0,1.0
1743803012.454599,39949.0,29080.0,99.0,1.0
1743803012.5290756,39962.0,28997.0,99.0,1.0
1743803012.6486557,39871.0,28852.0,99.0,1.0
1743803012.7263122,39867.0,28863.0,99.0,1.0
1743803012.8560612,39804.0,28814.0,99.0,1.0
1743803012.9329772,39768.0,28840.0,99.0,1.0
1743803013.0506897,39801.0,28886.0,99.0,1.0
1743803013.129292,39815.0,28906.0,99.0,1.0
1743803013.2487833,39826.0,28852.0,99.0,1.0
1743803013.332345,39766.0,28685.0,99.0,1.0
1743803013.4494371,39749.0,28690.0,99.0,1.0
1743803013.5350797,39758.0,28734.0,99.0,1.0
1743803013.655298,39764.0,28789.0,99.0,1.0
1743803013.7323496,39825.0,28854.0,99.0,1.0
1743803013.8528411,39873.0,28960.0,99.0,1.0
1743803013.930219,39907.0,29016.0,99.0,1.0
1743803014.061574,39897.0,28860.0,99.0,1.0
1743803014.1378763,39870.0,28862.0,99.0,1.0
1743803014.2564602,39867.0,28891.0,99.0,1.0
1743803014.3347056,39872.0,28900.0,99.0,1.0
1743803014.4615285,39887.0,28971.0,99.0,1.0
1743803014.5359104,39921.0,29013.0,99.0,1.0
1743803014.6569457,39948.0,29051.0,99.0,1.0
1743803014.7325213,39925.0,28936.0,99.0,1.0
1743803014.8548236,39885.0,28884.0,99.0,1.0
1743803014.9403386,39905.0,28929.0,99.0,1.0
1743803015.0583231,39915.0,28918.0,99.0,1.0
1743803015.1429899,39937.0,28947.0,99.0,1.0
1743803015.2605076,39942.0,28964.0,99.0,1.0
1743803015.3392835,39939.0,28984.0,99.0,1.0
1743803015.4655628,39887.0,28772.0,99.0,1.0
1743803015.540049,39852.0,28714.0,99.0,1.0
1743803015.660783,39854.0,28831.0,99.0,1.0
1743803015.741593,39922.0,28893.0,99.0,1.0
1743803015.8623147,39965.0,28941.0,99.0,1.0
1743803015.937978,39980.0,28988.0,99.0,1.0
1743803016.0679488,39980.0,28993.0,99.0,1.0
1743803016.1426113,39979.0,28841.0,99.0,1.0
1743803016.2618296,39902.0,28754.0,99.0,1.0
1743803016.3391595,39919.0,28797.0,99.0,1.0
1743803016.4620037,39932.0,28843.0,99.0,1.0
1743803016.538728,39956.0,28875.0,99.0,1.0
1743803016.6613567,39986.0,28986.0,99.0,1.0
1743803016.748537,40012.0,29024.0,99.0,1.0
1743803016.8651628,40033.0,28883.0,99.0,1.0
1743803016.9436493,40020.0,28857.0,99.0,1.0
