Time,Red_light,IR_light,SpO2,SpO2Valid,,,,,,,50 point average,,
1744340767,22,125,94,1,,,80.82352941,,80.82352941,,80.82352941,,
1744340767,28,165,94,1,,,80.54901961,,80.54901961,,80.54901961,,
1744340767,23,1330,94,1,,,80.2745098,,80.2745098,,80.2745098,,
1744340767,23,318,80,1,,,80.11764706,,80.11764706,,80.11764706,,
1744340767,22,35,80,1,,,80.23529412,,80.23529412,,80.23529412,,
1744340767,24,28,80,1,,,80.35294118,,80.35294118,,80.35294118,,
1744340767,36,30,80,1,,,80.47058824,,80.47058824,,80.47058824,,
1744340767,37,31,80,1,,,80.58823529,,80.58823529,,80.58823529,,
1744340767,30,32,80,1,,,80.70588235,,80.70588235,,80.70588235,,
1744340767,24,40,80,1,,,80.82352941,,80.82352941,,80.82352941,,
1744340768,20,34,80,1,,,80.94117647,,80.94117647,,80.94117647,,
1744340768,24,35,80,1,,,81.05882353,,81.05882353,,81.05882353,,
1744340768,24,31,80,1,,,81.17647059,,81.17647059,,81.17647059,,
1744340768,33,31,80,1,,,81.29411765,,81.29411765,,81.29411765,,
1744340768,30,34,80,1,,,81.41176471,,81.41176471,,81.41176471,,
1744340768,19,37,80,1,,,81.52941176,,81.52941176,,81.52941176,,
1744340768,25,42,80,1,,,81.64705882,,81.64705882,,81.64705882,,
1744340768,31,33,80,1,,,81.76470588,,81.76470588,,81.76470588,,
1744340768,33,35,80,1,,,81.88235294,,81.88235294,,81.88235294,,
1744340768,34,32,80,1,,,82,,82,,82,,
1744340769,30,34,80,1,,,82.11764706,,82.11764706,,82.11764706,,
1744340769,25,39,80,1,,,82.23529412,,82.23529412,,82.23529412,,
1744340769,23,36,80,1,,,82.35294118,,82.35294118,,82.35294118,,
1744340769,23,37,80,1,,,82.47058824,,82.47058824,,82.47058824,,
1744340769,33,30,80,1,,,82.58823529,,82.58823529,,82.58823529,,
1744340769,32,35,80,1,,,82.70588235,,82.70588235,,82.70588235,,
