Time,Red_light,IR_light,SpO2,SpO2Valid,,,,,50 point average,,
1744344019,27,40,94,1,,,86.1372549,,86.1372549,,
1744344019,27,30,94,1,,,85.8627451,,85.8627451,,
1744344019,21,31,94,1,,,85.58823529,,85.58823529,,
1744344019,28,31,94,1,,,85.31372549,,85.31372549,,
1744344019,30,33,94,1,,,85.03921569,,85.03921569,,
1744344019,22,38,94,1,,,84.76470588,,84.76470588,,
1744344019,24,33,94,1,,,84.49019608,,84.49019608,,
1744344019,33,41,94,1,,,84.21568627,,84.21568627,,
1744344020,25,32,94,1,,,83.94117647,,83.94117647,,
1744344020,20,34,94,1,,,83.66666667,,83.66666667,,
1744344020,30,35,94,1,,,83.39215686,,83.39215686,,
1744344020,33,29,94,1,,,83.11764706,,83.11764706,,
1744344020,33,28,94,1,,,82.84313725,,82.84313725,,
1744344020,33,33,94,1,,,82.56862745,,82.56862745,,
1744344020,1927,36,94,1,,,82.29411765,,82.29411765,,
1744344020,1744,33,94,1,,,82.01960784,,82.01960784,,
1744344020,71,36,94,1,,,81.74509804,,81.74509804,,
1744344020,71,36,83,1,,,81.47058824,,81.47058824,,
1744344021,266,36,83,1,,,81.41176471,,81.41176471,,
1744344021,869,3146,83,1,,,81.35294118,,81.35294118,,
1744344021,189,1335,83,1,,,81.29411765,,81.29411765,,
1744344021,25,1335,83,1,,,81.23529412,,81.23529412,,
1744344021,33,1335,83,1,,,81.17647059,,81.17647059,,
1744344021,28,908,83,1,,,81.11764706,,81.11764706,,
1744344021,38,621,83,1,,,81.05882353,,81.05882353,,
1744344021,34,25,83,1,,,81,,81,,
1744344021,35,31,83,1,,,80.94117647,,80.94117647,,
1744344021,35,36,83,1,,,80.88235294,,80.88235294,,
1744344022,34,33,83,1,,,80.82352941,,80.82352941,,
1744344022,28,36,83,1,,,80.76470588,,80.76470588,,
1744344022,28,36,83,1,,,80.70588235,,80.70588235,,
1744344022,21,41,83,1,,,80.64705882,,80.64705882,,
1744344022,28,32,83,1,,,80.58823529,,80.58823529,,
1744344022,27,31,83,1,,,80.52941176,,80.52941176,,
1744344022,28,34,83,1,,,80.47058824,,80.47058824,,
1744344022,28,33,83,1,,,80.41176471,,80.41176471,,
1744344022,28,41,83,1,,,80.35294118,,80.35294118,,
1744344022,30,37,83,1,,,80.29411765,,80.29411765,,
1744344023,27,35,83,1,,,80.23529412,,80.23529412,,
1744344023,18,40,83,1,,,80.17647059,,80.17647059,,
1744344023,30,33,83,1,,,80.11764706,,80.11764706,,
1744344023,34,30,83,1,,,80.05882353,,80.05882353,,
1744344023,30,27,80,1,,,80,,80,,
1744344023,34,32,80,1,,,80,,80,,
1744344023,19,34,80,1,,,80,,80,,
1744344023,23,31,80,1,,,80,,80,,
1744344023,26,37,80,1,,,80,,80,,
1744344023,27,33,80,1,,,80,,80,,
1744344024,30,31,80,1,,,80,,80,,
1744344024,38,37,80,1,,,80,,80,,
1744344024,27,40,80,1,,,80,,80,,
1744344024,27,35,80,1,,,80,,80,,
1744344024,27,34,80,1,,,80,,80,,
1744344024,2955,37,80,1,,,80,,80,,
1744344024,1761,40,80,1,,,80,,80,,
1744344024,1761,1,80,1,,,80,,80,,
1744344024,1761,1,80,1,,,80,,80,,
1744344024,745,726,80,1,,,80,,80,,
1744344025,927,3114,80,1,,,80,,80,,
1744344025,68,579,80,1,,,80,,80,,
1744344025,38,579,80,1,,,80,,80,,
1744344025,35,579,80,1,,,80,,80,,
1744344025,31,702,80,1,,,80,,80,,
1744344025,30,514,80,1,,,80,,80,,
1744344025,30,59,80,1,,,80,,80,,
1744344025,37,31,80,1,,,80,,80,,
1744344025,35,31,80,1,,,80,,80,,
1744344025,24,35,80,1,,,80,,80,,
1744344026,33,41,80,1,,,80,,80,,
1744344026,20,33,80,1,,,80,,80,,
1744344026,32,31,80,1,,,80,,80,,
1744344026,33,32,80,1,,,80,,80,,
1744344026,33,38,80,1,,,80,,80,,
