Time,Red_light,IR_light,SpO2,SpO2Valid,,,remove zeros,,50 point moving average
1744497921,30,38,99,1,,,99,,97.54901961
1744497922,26,30,99,1,,,99,,97.50980392
1744497922,25,30,99,1,,,99,,97.47058824
1744497922,22,34,99,1,,,99,,97.43137255
1744497922,23,31,99,1,,,99,,97.39215686
1744497922,32,33,99,1,,,99,,97.35294118
1744497922,24,34,99,1,,,99,,97.31372549
1744497922,15,35,99,1,,,99,,97.2745098
1744497922,27,35,99,1,,,99,,97.23529412
1744497922,30,32,99,1,,,99,,97.19607843
1744497922,26,32,99,1,,,99,,97.15686275
1744497923,19,35,99,1,,,99,,97.11764706
1744497923,30,38,99,1,,,99,,97.07843137
1744497923,35,30,99,1,,,99,,97.03921569
1744497923,35,27,97,1,,,97,,96.84313725
1744497923,25,34,97,1,,,97,,96.68627451
1744497923,28,30,97,1,,,97,,96.52941176
1744497923,0,32,97,1,,,97,,96.37254902
1744497923,0,31,97,1,,,97,,96.21568627
1744497923,171,28,97,1,,,97,,96.05882353
1744497923,3991,32,97,1,,,97,,95.90196078
1744497924,1455,35,97,1,,,97,,95.74509804
1744497924,0,19,97,1,,,97,,95.58823529
1744497924,0,0,97,1,,,97,,95.43137255
1744497924,298,0,97,1,,,97,,95.2745098
1744497924,1243,4366,97,1,,,97,,95.11764706
1744497924,351,2429,97,1,,,97,,94.96078431
1744497924,24,0,97,1,,,97,,94.80392157
1744497924,26,0,97,1,,,97,,94.64705882
1744497924,20,622,97,1,,,97,,94.49019608
1744497924,20,1355,97,1,,,97,,94.33333333
1744497925,28,239,97,1,,,97,,94.17647059
1744497925,22,33,97,1,,,97,,94.01960784
1744497925,28,32,97,1,,,97,,93.8627451
1744497925,28,33,97,1,,,97,,93.70588235
1744497925,30,32,97,1,,,97,,93.54901961
1744497925,18,34,97,1,,,97,,93.39215686
1744497925,24,31,97,1,,,97,,93.23529412
1744497925,27,28,97,1,,,97,,93.07843137
1744497925,28,31,97,1,,,97,,93.11764706
1744497925,25,36,97,1,,,97,,93.15686275
1744497926,36,28,97,1,,,97,,93.19607843
1744497926,35,33,97,1,,,97,,93.23529412
1744497926,28,39,97,1,,,97,,93.2745098
1744497926,26,34,97,1,,,97,,93.31372549
1744497926,19,34,97,1,,,97,,93.35294118
1744497926,26,29,97,1,,,97,,93.39215686
1744497926,33,25,97,1,,,97,,93.43137255
1744497926,24,33,97,1,,,97,,93.47058824
1744497926,29,36,97,1,,,97,,93.50980392
1744497926,21,36,97,1,,,97,,93.54901961
1744497927,20,39,97,1,,,97,,93.58823529
1744497927,30,30,97,1,,,97,,93.62745098
1744497927,33,33,97,1,,,97,,93.66666667
1744497927,27,33,97,1,,,97,,93.70588235
1744497927,28,39,97,1,,,97,,93.74509804
1744497927,24,35,97,1,,,97,,93.78431373
1744497927,29,34,97,1,,,97,,93.82352941
1744497927,28,27,97,1,,,97,,93.8627451
1744497927,0,38,97,1,,,97,,93.90196078
1744497927,0,34,97,1,,,97,,93.94117647
1744497928,4224,29,97,1,,,97,,93.98039216
1744497928,2149,27,97,1,,,97,,94.01960784
1744497928,0,0,97,1,,,97,,94.05882353
1744497930,35,31,89,1,,,89,,94.07843137
1744497930,29,29,89,1,,,89,,94.25490196
1744497931,27,37,89,1,,,89,,94.43137255
1744497931,24,41,89,1,,,89,,94.60784314
1744497931,31,26,89,1,,,89,,94.78431373
1744497931,31,42,89,1,,,89,,94.96078431
1744497931,25,38,89,1,,,89,,95.1372549
1744497931,29,32,89,1,,,89,,95.31372549
1744497931,37,23,89,1,,,89,,95.49019608
1744497931,32,33,89,1,,,89,,95.66666667
1744497931,30,39,89,1,,,89,,95.84313725
1744497931,23,35,89,1,,,89,,96.01960784
1744497932,0,31,89,1,,,89,,96.19607843
1744497932,0,28,89,1,,,89,,96.37254902
1744497932,3208,41,89,1,,,89,,96.54901961
1744497932,3833,34,89,1,,,89,,96.7254902
1744497932,108,32,89,1,,,89,,96.90196078
1744497932,0,0,89,1,,,89,,97.07843137
1744497932,117,0,89,1,,,89,,97.25490196
1744497932,1241,2553,89,1,,,89,,97.43137255
1744497932,512,2957,89,1,,,89,,97.60784314
1744497932,74,623,89,1,,,89,,97.78431373
1744497933,28,0,89,1,,,89,,97.96078431
1744497933,36,0,89,1,,,89,,98.1372549
1744497933,25,1277,89,1,,,89,,98.31372549
1744497933,34,816,99,1,,,99,,98.50980392
1744497933,34,41,99,1,,,99,,98.50980392
1744497933,26,35,99,1,,,99,,98.50980392
1744497933,26,35,99,1,,,99,,98.50980392
1744497933,26,32,99,1,,,99,,98.50980392
1744497933,33,33,99,1,,,99,,98.50980392
1744497933,32,37,99,1,,,99,,98.50980392
1744497934,20,38,99,1,,,99,,98.50980392
1744497934,27,34,99,1,,,99,,98.50980392
1744497934,32,26,99,1,,,99,,98.50980392
1744497934,32,34,99,1,,,99,,98.50980392
1744497934,26,36,99,1,,,99,,98.50980392
1744497934,19,37,99,1,,,99,,98.50980392
1744497934,24,31,99,1,,,99,,98.50980392
1744497934,23,34,99,1,,,99,,98.50980392
1744497934,28,38,99,1,,,99,,98.50980392
1744497934,27,33,99,1,,,99,,98.50980392
1744497935,31,39,99,1,,,99,,98.50980392
1744497935,31,32,99,1,,,99,,98.50980392
1744497935,34,27,99,1,,,99,,98.50980392
1744497935,29,31,99,1,,,99,,98.50980392
1744497935,26,33,99,1,,,99,,98.50980392
1744497935,26,41,99,1,,,99,,98.50980392
1744497935,29,38,99,1,,,99,,98.50980392
1744497935,28,27,99,1,,,99,,98.50980392
1744497935,30,33,98,1,,,98,,97.76470588
1744497935,31,29,98,1,,,98,,97.03921569
1744497936,31,38,98,1,,,98,,96.31372549
1744497936,22,37,98,1,,,98,,95.58823529
1744497936,7,34,98,1,,,98,,94.8627451
1744497936,0,25,98,1,,,98,,94.1372549
1744497936,0,27,98,1,,,98,,93.41176471
1744497936,3250,18,98,1,,,98,,92.68627451
1744497936,2062,33,98,1,,,98,,91.96078431
1744497936,59,30,98,1,,,98,,91.23529412
1744497936,0,0,98,1,,,98,,90.50980392
1744497936,165,0,98,1,,,98,,89.78431373
1744497937,1316,4131,98,1,,,98,,89.05882353
1744497937,398,2506,98,1,,,98,,88.33333333
1744497937,26,0,98,1,,,98,,87.60784314
1744497937,22,0,98,1,,,98,,86.88235294
1744497937,24,677,98,1,,,98,,86.15686275
1744497937,25,1371,98,1,,,98,,85.43137255
1744497937,31,157,98,1,,,98,,84.70588235
1744497937,28,35,98,1,,,98,,83.98039216
1744497937,25,39,98,1,,,98,,83.25490196
1744497937,17,33,98,1,,,98,,82.52941176
1744497938,27,31,98,1,,,98,,81.80392157
1744497938,26,33,98,1,,,98,,81.07843137
1744497938,25,36,98,1,,,98,,80.35294118
1744497938,20,34,99,1,,,99,,79.15686275
1744497938,28,26,99,1,,,99,,77.94117647
1744497938,21,33,99,1,,,99,,76.7254902
1744497938,35,30,99,1,,,99,,75.50980392
1744497938,29,35,99,1,,,99,,74.29411765
1744497938,25,43,99,1,,,99,,73.07843137
1744497938,17,39,99,1,,,99,,71.8627451
1744497939,28,31,99,1,,,99,,70.64705882
1744497939,32,31,99,1,,,99,,69.43137255
1744497939,25,31,99,1,,,99,,68.21568627
1744497939,18,33,99,1,,,99,,67
1744497939,28,31,99,1,,,99,,65.78431373
1744497939,28,34,99,1,,,99,,64.56862745
1744497939,28,36,99,1,,,99,,63.35294118
1744497939,25,35,99,1,,,99,,62.1372549
1744497939,29,35,99,1,,,99,,60.92156863
1744497939,25,33,99,1,,,99,,59.70588235
1744497940,31,29,99,1,,,99,,58.49019608
1744497940,30,36,99,1,,,99,,57.2745098
1744497940,25,35,99,1,,,99,,56.05882353
1744497940,21,40,99,1,,,99,,54.84313725
1744497940,5,35,99,1,,,99,,53.62745098
1744497940,0,18,99,1,,,99,,52.41176471
1744497940,194,37,99,1,,,99,,51.19607843
1744497940,3875,35,99,1,,,99,,49.98039216
1744497940,1269,34,61,1,,,61,,49.8627451
1744497940,0,12,61,1,,,61,,50.49019608
1744497941,0,0,61,1,,,61,,51.11764706
1744497941,715,177,61,1,,,61,,51.74509804
1744497941,891,4267,61,1,,,61,,52.37254902
1744497941,149,1295,61,1,,,61,,53
1744497941,32,0,61,1,,,61,,53.62745098
1744497941,20,0,61,1,,,61,,54.25490196
1744497941,33,1050,61,1,,,61,,54.88235294
1744497941,33,1172,61,1,,,61,,55.50980392
1744497941,36,66,61,1,,,61,,56.1372549
1744497941,34,36,61,1,,,61,,56.76470588
1744497942,29,36,61,1,,,61,,57.39215686
1744497942,20,34,61,1,,,61,,58.01960784
1744497942,25,35,61,1,,,61,,58.64705882
1744497942,24,32,61,1,,,61,,59.2745098
1744497942,32,30,61,1,,,61,,59.90196078
1744497942,33,35,61,1,,,61,,60.52941176
1744497942,25,37,61,1,,,61,,61.15686275
1744497942,21,41,61,1,,,61,,61.78431373
1744497942,37,29,61,1,,,61,,62.41176471
1744497942,31,37,61,1,,,61,,63.03921569
1744497943,27,34,61,1,,,61,,63.66666667
1744497943,22,38,61,1,,,61,,64.29411765
1744497943,22,43,61,1,,,61,,64.92156863
1744497943,28,32,37,1,,,37,,65.47058824
1744497943,31,34,37,1,,,37,,66.49019608
1744497943,23,35,37,1,,,37,,67.50980392
1744497943,22,39,37,1,,,37,,68.52941176
1744497943,32,33,37,1,,,37,,69.54901961
1744497943,31,33,37,1,,,37,,70.56862745
1744497943,32,30,37,1,,,37,,71.58823529
1744497944,25,31,37,1,,,37,,72.60784314
1744497944,22,38,37,1,,,37,,73.62745098
1744497944,28,29,37,1,,,37,,74.64705882
1744497944,27,32,37,1,,,37,,75.66666667
