Time,Red_light,IR_light,SpO2,SpO2Valid
1744342560.3494415,27.0,37.0,99.0,1.0
1744342560.4338725,23.0,32.0,99.0,1.0
1744342560.5457783,27.0,39.0,99.0,1.0
1744342560.6341834,25.0,32.0,99.0,1.0
1744342560.7531703,37.0,25.0,99.0,1.0
1744342560.8290238,28.0,34.0,99.0,1.0
1744342560.9520123,30.0,34.0,99.0,1.0
1744342561.0260031,30.0,33.0,99.0,1.0
1744342561.1535976,28.0,36.0,99.0,1.0
1744342561.228701,32.0,38.0,99.0,1.0
1744342561.3462994,26.0,32.0,99.0,1.0
1744342561.4295225,27.0,29.0,99.0,1.0
1744342561.5477812,25.0,33.0,99.0,1.0
1744342561.6320615,23.0,42.0,99.0,1.0
1744342561.7501245,22.0,40.0,99.0,1.0
1744342561.835062,29.0,29.0,99.0,1.0
1744342561.9526312,19.0,41.0,99.0,1.0
1744342562.0268946,22.0,39.0,99.0,1.0
1744342562.1469138,20.0,33.0,99.0,1.0
1744342562.2362933,21.0,37.0,99.0,1.0
1744342562.3470092,25.0,41.0,99.0,1.0
1744342562.4326472,28.0,34.0,99.0,1.0
1744342562.5487523,28.0,23.0,99.0,1.0
1744342562.6334305,28.0,27.0,99.0,1.0
1744342562.7568579,2806.0,29.0,99.0,1.0
1744342562.8355367,1195.0,27.0,99.0,1.0
1744342562.9535737,1195.0,27.0,99.0,1.0
1744342563.028659,1195.0,27.0,99.0,1.0
1744342563.1477025,620.0,494.0,99.0,1.0
1744342563.2339618,827.0,2735.0,99.0,1.0
1744342563.354009,61.0,574.0,99.0,1.0
1744342563.4300206,21.0,574.0,99.0,1.0
1744342563.5505974,26.0,574.0,99.0,1.0
1744342563.6378846,22.0,719.0,99.0,1.0
1744342563.754117,26.0,373.0,99.0,1.0
1744342563.8321183,22.0,53.0,99.0,1.0
1744342563.9535224,29.0,38.0,99.0,1.0
1744342564.0312366,26.0,22.0,99.0,1.0
1744342564.1510172,40.0,36.0,99.0,1.0
1744342564.2320004,30.0,35.0,99.0,1.0
1744342564.3551958,29.0,29.0,99.0,1.0
