Time,Red_light,IR_light,SpO2,SpO2Valid
1743802583.4957783,23610.0,21896.0,95.0,1.0
1743802583.5735605,23619.0,21942.0,95.0,1.0
1743802583.6903336,23618.0,21883.0,95.0,1.0
1743802583.7773256,23618.0,21850.0,95.0,1.0
1743802583.8983698,23614.0,21916.0,95.0,1.0
1743802583.974078,23609.0,21938.0,96.0,1.0
1743802584.0939627,23635.0,21924.0,96.0,1.0
1743802584.1758187,23623.0,21943.0,96.0,1.0
1743802584.2958157,23690.0,21835.0,96.0,1.0
1743802584.3741858,23698.0,21609.0,96.0,1.0
1743802584.495035,23680.0,21571.0,96.0,1.0
1743802584.5798736,23659.0,21661.0,96.0,1.0
1743802584.6969175,23685.0,21657.0,96.0,1.0
1743802584.7771068,23658.0,21702.0,96.0,1.0
1743802584.8968177,23666.0,21742.0,96.0,1.0
1743802584.9840798,23671.0,21814.0,96.0,1.0
1743802585.1027114,23670.0,21877.0,96.0,1.0
1743802585.178359,23674.0,21867.0,96.0,1.0
1743802585.2985215,23669.0,21944.0,96.0,1.0
1743802585.385129,23705.0,22014.0,96.0,1.0
1743802585.5030327,23716.0,22049.0,96.0,1.0
1743802585.5786035,23704.0,22029.0,96.0,1.0
1743802585.6997623,23751.0,22011.0,96.0,1.0
1743802585.7859352,23753.0,22011.0,96.0,1.0
1743802585.9047637,23817.0,22027.0,96.0,1.0
1743802585.981891,23855.0,22047.0,96.0,1.0
1743802586.1013079,23885.0,22047.0,96.0,1.0
1743802586.1898823,23883.0,22064.0,96.0,1.0
1743802586.3098006,23941.0,22031.0,96.0,1.0
1743802586.387428,23964.0,22085.0,96.0,1.0
1743802586.5047941,24012.0,22078.0,95.0,1.0
1743802586.582489,24032.0,22080.0,95.0,1.0
1743802586.7055514,24088.0,21995.0,95.0,1.0
1743802586.7915363,24099.0,21956.0,95.0,1.0
1743802586.9026868,24152.0,21901.0,95.0,1.0
1743802586.9930806,24145.0,21943.0,95.0,1.0
1743802587.1096447,24173.0,21963.0,95.0,1.0
1743802587.186542,24186.0,21992.0,95.0,1.0
1743802587.3038673,24215.0,22036.0,95.0,1.0
1743802587.3901348,24245.0,22041.0,95.0,1.0
1743802587.5072315,24279.0,22064.0,95.0,1.0
1743802587.594173,24279.0,22050.0,95.0,1.0
1743802587.7102165,24325.0,22018.0,95.0,1.0
1743802587.7890027,24329.0,22063.0,95.0,1.0
1743802587.9054737,24363.0,22041.0,95.0,1.0
1743802587.9930582,24347.0,22079.0,95.0,1.0
1743802588.1101906,24369.0,22148.0,95.0,1.0
1743802588.1967955,24381.0,22203.0,95.0,1.0
1743802588.3145578,24379.0,22195.0,95.0,1.0
1743802588.3924875,24381.0,22160.0,95.0,1.0
1743802588.5107355,24410.0,22168.0,95.0,1.0
1743802588.5949056,24403.0,22202.0,95.0,1.0
1743802588.7135215,24406.0,22225.0,95.0,1.0
1743802588.7914698,24393.0,22346.0,95.0,1.0
1743802588.9126966,24444.0,22338.0,95.0,1.0
1743802588.9984488,24460.0,22343.0,97.0,1.0
1743802589.1167686,24473.0,22342.0,97.0,1.0
1743802589.1970165,24468.0,22362.0,97.0,1.0
1743802589.3148153,24475.0,22360.0,97.0,1.0
1743802589.3945818,24489.0,22378.0,97.0,1.0
1743802589.51428,24525.0,22413.0,97.0,1.0
1743802589.5947623,24485.0,22501.0,97.0,1.0
1743802589.713199,24509.0,22575.0,97.0,1.0
1743802589.7985935,24540.0,22637.0,97.0,1.0
1743802589.9155412,24570.0,22642.0,97.0,1.0
1743802590.0016563,24588.0,22587.0,97.0,1.0
1743802590.1194177,24630.0,22581.0,97.0,1.0
1743802590.1935153,24625.0,22598.0,97.0,1.0
1743802590.3161497,24648.0,22530.0,97.0,1.0
1743802590.400539,24667.0,22443.0,97.0,1.0
1743802590.516165,24683.0,22400.0,97.0,1.0
1743802590.6008062,24695.0,22342.0,97.0,1.0
1743802590.7183611,24696.0,22330.0,97.0,1.0
1743802590.8044074,24696.0,22276.0,97.0,1.0
1743802590.9194639,24714.0,22210.0,97.0,1.0
1743802591.0059445,24710.0,22176.0,97.0,1.0
1743802591.1232855,24713.0,22205.0,97.0,1.0
1743802591.2018406,24730.0,22180.0,97.0,1.0
1743802591.3215134,24712.0,22248.0,97.0,1.0
1743802591.397667,24747.0,22224.0,97.0,1.0
1743802591.5162642,24747.0,22270.0,98.0,1.0
1743802591.6054916,24744.0,22321.0,98.0,1.0
1743802591.7253532,24773.0,22300.0,98.0,1.0
1743802591.8018913,24799.0,22280.0,98.0,1.0
1743802591.9214284,24812.0,22284.0,98.0,1.0
1743802592.007196,24813.0,22306.0,98.0,1.0
1743802592.1239648,24824.0,22342.0,98.0,1.0
1743802592.2101145,24848.0,22316.0,98.0,1.0
1743802592.3271067,24866.0,22341.0,98.0,1.0
1743802592.4027965,24891.0,22370.0,98.0,1.0
1743802592.525352,24902.0,22377.0,98.0,1.0
1743802592.610939,24914.0,22384.0,98.0,1.0
1743802592.7283497,24910.0,22430.0,98.0,1.0
1743802592.8041058,24921.0,22459.0,98.0,1.0
1743802592.9259343,24956.0,22415.0,98.0,1.0
1743802593.0114121,24950.0,22461.0,98.0,1.0
1743802593.1295493,24972.0,22455.0,98.0,1.0
1743802593.206346,24971.0,22423.0,98.0,1.0
1743802593.3271716,24997.0,22347.0,98.0,1.0
1743802593.4114645,24979.0,22336.0,98.0,1.0
1743802593.5282779,24955.0,22405.0,98.0,1.0
1743802593.6149383,24972.0,22465.0,98.0,1.0
1743802593.7252574,24983.0,22493.0,98.0,1.0
1743802593.815305,24979.0,22460.0,98.0,1.0
1743802593.932111,24994.0,22337.0,98.0,1.0
1743802594.0088534,25001.0,22264.0,99.0,1.0
1743802594.1321425,24977.0,22184.0,99.0,1.0
1743802594.2099996,24966.0,22190.0,99.0,1.0
1743802594.3302455,24983.0,22214.0,99.0,1.0
1743802594.4170198,24971.0,22256.0,99.0,1.0
1743802594.5342085,24982.0,22328.0,99.0,1.0
1743802594.6182826,24954.0,22455.0,99.0,1.0
1743802594.734693,24970.0,22614.0,99.0,1.0
1743802594.8101268,25009.0,22548.0,99.0,1.0
1743802594.9371054,24944.0,22455.0,99.0,1.0
1743802595.0113332,24907.0,22438.0,99.0,1.0
1743802595.1383402,24729.0,21539.0,99.0,1.0
1743802595.2168732,24240.0,20431.0,99.0,1.0
1743802595.3337705,22981.0,19662.0,99.0,1.0
1743802595.4117782,22162.0,23781.0,99.0,1.0
