Time,Red_light,IR_light,SpO2,SpO2Valid
1743803292.0394208,49378.0,47302.0,99.0,1.0
1743803292.151838,49402.0,47266.0,99.0,1.0
1743803292.2368588,49370.0,47177.0,99.0,1.0
1743803292.3560066,49391.0,47207.0,99.0,1.0
1743803292.4307096,49409.0,47259.0,99.0,1.0
1743803292.5499897,49439.0,47269.0,99.0,1.0
1743803292.636495,49454.0,47314.0,99.0,1.0
1743803292.7525783,49489.0,47288.0,99.0,1.0
1743803292.8375683,49472.0,47279.0,99.0,1.0
1743803292.954575,49490.0,47194.0,99.0,1.0
1743803293.0323431,49448.0,47159.0,99.0,1.0
1743803293.1533825,49461.0,47148.0,99.0,1.0
1743803293.2385108,49446.0,47121.0,99.0,1.0
1743803293.3598268,49449.0,47106.0,99.0,1.0
1743803293.4352198,49483.0,47208.0,99.0,1.0
1743803293.5550778,49584.0,47378.0,99.0,1.0
1743803293.6399434,49631.0,47385.0,99.0,1.0
1743803293.7593682,49617.0,47246.0,99.0,1.0
1743803293.8377416,49576.0,47233.0,99.0,1.0
1743803293.9564586,49568.0,47205.0,99.0,1.0
1743803294.0426784,49550.0,47255.0,99.0,1.0
1743803294.1602829,49641.0,47445.0,99.0,1.0
1743803294.2466567,49674.0,47505.0,99.0,1.0
1743803294.3627777,49702.0,47535.0,99.0,1.0
1743803294.4396002,49699.0,47547.0,99.0,1.0
1743803294.558715,49660.0,47439.0,99.0,1.0
1743803294.644245,49678.0,47534.0,99.0,1.0
1743803294.7608352,49738.0,47611.0,99.0,1.0
1743803294.8465102,49757.0,47609.0,99.0,1.0
1743803294.964533,49792.0,47649.0,99.0,1.0
1743803295.0386348,49811.0,47721.0,99.0,1.0
1743803295.1582162,49859.0,47695.0,99.0,1.0
1743803295.2467961,49859.0,47696.0,99.0,1.0
1743803295.3651357,49828.0,47555.0,99.0,1.0
1743803295.4401596,49835.0,47555.0,99.0,1.0
1743803295.5609617,49802.0,47471.0,99.0,1.0
1743803295.6493254,49779.0,47414.0,99.0,1.0
1743803295.7669537,49786.0,47432.0,99.0,1.0
1743803295.8411307,49783.0,47432.0,99.0,1.0
1743803295.9630291,49798.0,47429.0,99.0,1.0
1743803296.0491374,49783.0,47335.0,99.0,1.0
1743803296.1668088,49732.0,47304.0,99.0,1.0
1743803296.2454724,49729.0,47335.0,99.0,1.0
1743803296.3654935,49775.0,47324.0,99.0,1.0
1743803296.4441264,49747.0,47338.0,99.0,1.0
1743803296.56651,49777.0,47372.0,99.0,1.0
1743803296.6516328,49776.0,47403.0,99.0,1.0
1743803296.7688599,49789.0,47447.0,99.0,1.0
1743803296.850451,49760.0,47276.0,99.0,1.0
1743803296.9681876,49692.0,47186.0,99.0,1.0
1743803297.0545769,49674.0,47104.0,99.0,1.0
1743803297.1725569,49696.0,47145.0,99.0,1.0
1743803297.2482736,49700.0,47182.0,99.0,1.0
1743803297.3662589,49766.0,47275.0,99.0,1.0
1743803297.4550188,49759.0,47285.0,99.0,1.0
1743803297.5732834,49726.0,47252.0,99.0,1.0
1743803297.6472952,49709.0,47136.0,99.0,1.0
1743803297.765479,49668.0,47065.0,99.0,1.0
1743803297.8547218,49630.0,46995.0,99.0,1.0
1743803297.9742396,49550.0,46670.0,99.0,1.0
1743803298.0492673,49340.0,46434.0,99.0,1.0
1743803298.1687953,49345.0,46732.0,99.0,1.0
1743803298.257312,49496.0,46985.0,99.0,1.0
1743803298.3727646,49661.0,47244.0,99.0,1.0
