Time,Red_light,IR_light,SpO2,SpO2Valid,,remove zeros,,50 point moving average,,
1744497315,0,30,98,1,,98,,92.50980392,,
1744497315,29,26,98,1,,98,,92.45098039,,
1744497315,3202,36,98,1,,98,,92.39215686,,
1744497315,1003,38,98,1,,98,,92.33333333,,
1744497315,0,0,98,1,,98,,92.2745098,,
1744497316,0,0,98,1,,98,,92.21568627,,
1744497316,991,2025,98,1,,98,,92.15686275,,
1744497316,518,2868,98,1,,98,,92.09803922,,
1744497316,25,17,98,1,,98,,92.03921569,,
1744497316,30,0,98,1,,98,,91.98039216,,
1744497316,32,474,98,1,,98,,91.92156863,,
1744497316,17,1033,98,1,,98,,91.8627451,,
1744497316,20,130,98,1,,98,,91.80392157,,
1744497316,24,35,98,1,,98,,91.74509804,,
1744497316,27,34,98,1,,98,,91.68627451,,
1744497317,27,28,98,1,,98,,91.62745098,,
1744497319,2809,35,88,1,,88,,91.21568627,,
1744497319,1129,35,88,1,,88,,91,,
1744497319,0,12,88,1,,88,,90.78431373,,
1744497319,0,0,88,1,,88,,90.56862745,,
1744497320,429,9,88,1,,88,,90.35294118,,
1744497320,859,3361,88,1,,88,,90.1372549,,
1744497320,190,1346,88,1,,88,,89.92156863,,
1744497320,26,0,88,1,,88,,89.70588235,,
1744497320,30,0,88,1,,88,,89.49019608,,
1744497320,26,920,88,1,,88,,89.2745098,,
1744497320,27,743,88,1,,88,,89.05882353,,
1744497320,28,38,88,1,,88,,88.84313725,,
1744497320,31,37,88,1,,88,,88.62745098,,
1744497320,29,37,88,1,,88,,88.41176471,,
1744497321,26,35,88,1,,88,,88.19607843,,
1744497321,26,26,88,1,,88,,87.98039216,,
1744497321,31,25,88,1,,88,,87.76470588,,
1744497321,30,32,88,1,,88,,87.54901961,,
1744497321,24,35,88,1,,88,,87.33333333,,
1744497321,29,38,88,1,,88,,87.11764706,,
1744497321,27,36,88,1,,88,,86.90196078,,
1744497321,35,33,88,1,,88,,86.68627451,,
1744497321,30,31,88,1,,88,,86.47058824,,
1744497321,24,37,88,1,,88,,86.25490196,,
1744497322,21,34,88,1,,88,,86.03921569,,
1744497322,29,28,95,1,,95,,86.05882353,,
1744497322,32,36,95,1,,95,,85.94117647,,
1744497322,27,36,95,1,,95,,85.82352941,,
1744497322,28,30,95,1,,95,,85.70588235,,
1744497322,34,30,95,1,,95,,85.58823529,,
1744497322,26,41,95,1,,95,,85.47058824,,
1744497322,23,32,95,1,,95,,85.35294118,,
1744497322,26,29,95,1,,95,,85.23529412,,
1744497322,35,29,95,1,,95,,85.11764706,,
1744497323,28,37,95,1,,95,,85,,
1744497323,21,34,95,1,,95,,84.88235294,,
1744497323,30,32,95,1,,95,,84.76470588,,
1744497323,0,30,95,1,,95,,84.64705882,,
1744497323,0,35,95,1,,95,,84.52941176,,
1744497323,3137,28,95,1,,95,,84.41176471,,
1744497323,1452,31,95,1,,95,,84.29411765,,
1744497323,0,0,95,1,,95,,84.17647059,,
1744497323,0,0,95,1,,95,,84.05882353,,
1744497323,880,1335,95,1,,95,,83.94117647,,
1744497324,706,3237,95,1,,95,,83.82352941,,
1744497324,32,237,95,1,,95,,83.70588235,,
1744497324,33,0,95,1,,95,,83.58823529,,
1744497324,23,133,95,1,,95,,83.47058824,,
1744497324,20,1001,95,1,,95,,83.35294118,,
1744497324,24,211,95,1,,95,,83.23529412,,
1744497324,17,37,77,1,,77,,82.60784314,,
1744497324,24,36,77,1,,77,,82.33333333,,
1744497324,26,34,77,1,,77,,82.05882353,,
1744497324,38,31,77,1,,77,,81.78431373,,
1744497325,28,29,77,1,,77,,81.50980392,,
1744497325,30,31,77,1,,77,,81.23529412,,
1744497325,20,35,77,1,,77,,80.96078431,,
1744497325,26,34,77,1,,77,,80.68627451,,
1744497325,27,24,77,1,,77,,80.41176471,,
1744497325,26,37,77,1,,77,,80.1372549,,
1744497325,24,35,77,1,,77,,79.8627451,,
1744497325,21,29,77,1,,77,,79.58823529,,
1744497325,26,34,77,1,,77,,79.31372549,,
1744497325,32,36,77,1,,77,,79.03921569,,
1744497326,20,37,77,1,,77,,78.76470588,,
1744497326,19,36,77,1,,77,,78.49019608,,
1744497326,28,31,77,1,,77,,78.21568627,,
1744497326,27,31,77,1,,77,,77.94117647,,
1744497326,32,34,77,1,,77,,77.66666667,,
1744497326,24,32,77,1,,77,,77.39215686,,
1744497326,23,36,77,1,,77,,77.11764706,,
1744497326,23,34,77,1,,77,,76.84313725,,
1744497326,35,28,77,1,,77,,76.56862745,,
1744497326,31,34,77,1,,77,,76.29411765,,
1744497327,27,39,77,1,,77,,76.01960784,,
1744497327,29,42,89,1,,89,,76.29411765,,
1744497327,0,37,89,1,,89,,76.33333333,,
1744497327,0,27,89,1,,89,,76.37254902,,
1744497327,2172,31,89,1,,89,,76.41176471,,
1744497327,1349,30,89,1,,89,,76.45098039,,
1744497327,0,26,89,1,,89,,76.49019608,,
1744497327,0,0,89,1,,89,,76.52941176,,
1744497327,612,262,89,1,,89,,76.56862745,,
1744497327,498,2862,89,1,,89,,76.60784314,,
1744497328,70,579,89,1,,89,,76.64705882,,
1744497328,25,0,89,1,,89,,76.68627451,,
1744497328,22,0,89,1,,89,,76.7254902,,
1744497328,37,964,89,1,,89,,76.76470588,,
1744497328,28,450,89,1,,89,,76.80392157,,
1744497328,22,35,89,1,,89,,76.84313725,,
1744497328,27,41,89,1,,89,,76.88235294,,
1744497328,33,36,89,1,,89,,76.92156863,,
1744497328,30,27,89,1,,89,,76.96078431,,
1744497328,33,40,89,1,,89,,77,,
1744497329,28,35,89,1,,89,,77.03921569,,
1744497329,25,38,89,1,,89,,77.07843137,,
1744497329,28,29,89,1,,89,,77.11764706,,
1744497329,33,32,89,1,,89,,77.15686275,,
1744497329,22,37,89,1,,89,,77.19607843,,
1744497329,29,34,89,1,,89,,77.23529412,,
1744497329,26,26,63,1,,63,,77.2745098,,
1744497329,32,30,63,1,,63,,77.82352941,,
1744497329,29,40,63,1,,63,,78.37254902,,
1744497329,30,34,63,1,,63,,78.92156863,,
1744497330,29,40,63,1,,63,,79.47058824,,
1744497330,29,33,63,1,,63,,80.01960784,,
1744497330,28,30,63,1,,63,,80.56862745,,
1744497330,21,35,63,1,,63,,81.11764706,,
1744497330,24,29,63,1,,63,,81.66666667,,
1744497330,38,39,63,1,,63,,82.21568627,,
1744497330,19,37,63,1,,63,,82.76470588,,
1744497330,24,32,63,1,,63,,83.31372549,,
1744497330,22,32,63,1,,63,,83.8627451,,
1744497330,30,32,63,1,,63,,84.41176471,,
1744497331,29,35,63,1,,63,,84.96078431,,
1744497331,25,42,63,1,,63,,85.50980392,,
1744497331,7,39,63,1,,63,,86.05882353,,
1744497331,0,32,63,1,,63,,86.60784314,,
1744497331,129,32,63,1,,63,,87.15686275,,
1744497331,3024,36,63,1,,63,,87.70588235,,
1744497331,909,33,63,1,,63,,88.25490196,,
1744497331,0,0,63,1,,63,,88.80392157,,
1744497331,0,0,63,1,,63,,89.35294118,,
1744497331,793,1285,63,1,,63,,89.90196078,,
1744497332,678,3062,63,1,,63,,90.45098039,,
1744497339,2393,30,91,1,,91,,91.03921569,,
1744497339,945,38,91,1,,91,,91.07843137,,
1744497339,0,22,91,1,,91,,91.11764706,,
1744497339,0,0,91,1,,91,,91.15686275,,
1744497340,406,72,91,1,,91,,91.19607843,,
1744497340,568,2855,91,1,,91,,91.23529412,,
1744497340,87,859,91,1,,91,,91.2745098,,
1744497340,24,0,91,1,,91,,91.31372549,,
1744497340,28,0,91,1,,91,,91.35294118,,
1744497340,16,807,91,1,,91,,91.39215686,,
1744497340,27,528,91,1,,91,,91.43137255,,
1744497340,32,28,91,1,,91,,91.47058824,,
1744497340,28,39,91,1,,91,,91.50980392,,
1744497340,22,40,91,1,,91,,91.54901961,,
1744497341,26,31,91,1,,91,,91.58823529,,
1744497341,32,34,91,1,,91,,91.62745098,,
1744497341,27,34,91,1,,91,,91.66666667,,
1744497341,26,34,91,1,,91,,91.70588235,,
1744497341,28,35,91,1,,91,,91.74509804,,
1744497341,28,37,91,1,,91,,91.78431373,,
1744497341,34,36,91,1,,91,,91.82352941,,
1744497341,24,34,91,1,,91,,91.8627451,,
1744497341,31,33,91,1,,91,,91.90196078,,
1744497341,29,29,91,1,,91,,91.94117647,,
1744497342,31,32,91,1,,91,,91.98039216,,
1744497342,32,33,91,1,,91,,92.11764706,,
1744497342,29,31,91,1,,91,,92.25490196,,
1744497342,20,40,91,1,,91,,92.39215686,,
1744497342,25,38,91,1,,91,,92.52941176,,
1744497342,35,31,91,1,,91,,92.66666667,,
