Time,Red_light,IR_light,SpO2,SpO2Valid,,,remove zeros,,,50 point moving average
1744498426,21,29,97,1,,,97,,,94.25490196
1744498426,29,29,97,1,,,97,,,93.98039216
1744498426,27,33,97,1,,,97,,,93.70588235
1744498426,28,36,97,1,,,97,,,93.43137255
1744498427,24,39,97,1,,,97,,,93.15686275
1744498427,25,33,97,1,,,97,,,92.88235294
1744498427,25,33,97,1,,,97,,,92.60784314
1744498427,23,32,97,1,,,97,,,92.33333333
1744498427,14,33,97,1,,,97,,,92.05882353
1744498427,0,39,97,1,,,97,,,91.78431373
1744498427,0,30,97,1,,,97,,,91.50980392
1744498427,3598,34,97,1,,,97,,,91.23529412
1744498427,2189,37,97,1,,,97,,,90.96078431
1744498427,0,18,97,1,,,97,,,90.68627451
1744498428,0,0,97,1,,,97,,,90.41176471
1744498428,428,0,97,1,,,97,,,90.1372549
1744498428,1124,3125,97,1,,,97,,,89.54901961
1744498428,154,1301,97,1,,,97,,,88.96078431
1744498428,38,0,97,1,,,97,,,88.37254902
1744498428,29,0,97,1,,,97,,,87.78431373
1744498428,22,488,97,1,,,97,,,87.19607843
1744498428,17,810,97,1,,,97,,,86.60784314
1744498428,23,173,97,1,,,97,,,86.01960784
1744498428,26,29,97,1,,,97,,,85.43137255
1744498429,29,32,97,1,,,97,,,84.84313725
1744498429,30,36,97,1,,,97,,,84.25490196
1744498429,25,33,97,1,,,97,,,83.66666667
1744498429,26,37,97,1,,,97,,,83.07843137
1744498429,29,37,97,1,,,97,,,82.49019608
1744498429,36,37,97,1,,,97,,,81.90196078
1744498429,32,36,97,1,,,97,,,81.31372549
1744498429,21,37,97,1,,,97,,,80.7254902
1744498429,21,30,97,1,,,97,,,80.1372549
1744498429,29,25,97,1,,,97,,,79.54901961
1744498430,31,34,97,1,,,97,,,78.96078431
1744498430,26,31,97,1,,,97,,,78.37254902
1744498430,23,37,97,1,,,97,,,77.78431373
1744498430,28,33,97,1,,,97,,,77.19607843
1744498430,32,34,97,1,,,97,,,76.60784314
1744498430,33,35,97,1,,,97,,,76.01960784
1744498430,27,36,97,1,,,97,,,75.43137255
1744498430,30,36,83,1,,,83,,,74.35294118
1744498430,33,32,83,1,,,83,,,73.54901961
1744498430,27,33,83,1,,,83,,,72.74509804
1744498431,27,31,83,1,,,83,,,71.94117647
1744498431,33,29,83,1,,,83,,,71.1372549
1744498431,33,34,83,1,,,83,,,70.33333333
1744498431,29,34,83,1,,,83,,,69.52941176
1744498431,21,42,83,1,,,83,,,68.7254902
1744498431,27,36,83,1,,,83,,,67.92156863
1744498431,0,31,83,1,,,83,,,67.11764706
1744498431,0,38,83,1,,,83,,,66.31372549
1744498431,228,30,83,1,,,83,,,65.50980392
1744498431,3787,30,83,1,,,83,,,64.70588235
1744498432,1436,30,83,1,,,83,,,63.90196078
1744498432,0,0,83,1,,,83,,,63.09803922
1744498432,0,0,83,1,,,83,,,62.29411765
1744498432,607,272,83,1,,,83,,,61.49019608
1744498432,1139,3359,83,1,,,83,,,60.68627451
1744498432,179,1399,83,1,,,83,,,59.88235294
1744498432,20,14,83,1,,,83,,,59.07843137
