Time,Red_light,IR_light,SpO2,SpO2Valid
1743570385.2268026,184432.0,244323.0,94.0,1.0
1743570385.3455226,184397.0,244358.0,94.0,1.0
1743570385.4235125,184430.0,244348.0,94.0,1.0
1743570385.5436635,184428.0,244370.0,94.0,1.0
1743570385.624511,184364.0,244382.0,94.0,1.0
1743570385.7432992,184299.0,244155.0,77.0,1.0
1743570385.8241742,184272.0,244085.0,77.0,1.0
1743570385.9433508,184245.0,244062.0,77.0,1.0
1743570386.0249903,184233.0,244172.0,77.0,1.0
1743570386.1410222,184345.0,244326.0,77.0,1.0
1743570386.2228456,184366.0,244374.0,77.0,1.0
1743570386.348048,184309.0,244351.0,77.0,1.0
1743570386.4329088,184321.0,244220.0,77.0,1.0
1743570386.5449276,184237.0,244157.0,77.0,1.0
1743570386.6232128,184214.0,244143.0,77.0,1.0
1743570386.7496545,184091.0,244103.0,77.0,1.0
1743570386.8264563,184056.0,244157.0,77.0,1.0
1743570386.950416,184085.0,244229.0,77.0,1.0
1743570387.034595,184108.0,244268.0,77.0,1.0
1743570387.1469502,184087.0,244133.0,77.0,1.0
1743570387.222697,184044.0,244106.0,77.0,1.0
1743570387.3506067,184040.0,244124.0,77.0,1.0
1743570387.428762,184026.0,244088.0,77.0,1.0
1743570387.5453155,184024.0,244185.0,77.0,1.0
1743570387.6232398,184091.0,244263.0,77.0,1.0
1743570387.746588,184001.0,244043.0,77.0,1.0
1743570387.8249466,183906.0,243956.0,77.0,1.0
1743570387.9469829,183881.0,243973.0,77.0,1.0
1743570388.0283334,183984.0,244044.0,77.0,1.0
1743570388.1476612,183976.0,244078.0,77.0,1.0
1743570388.2239287,184013.0,244083.0,87.0,1.0
1743570388.3512938,183956.0,244078.0,87.0,1.0
1743570388.4269986,183977.0,244091.0,87.0,1.0
1743570388.5443497,183893.0,243938.0,87.0,1.0
1743570388.6272542,183845.0,243938.0,87.0,1.0
1743570388.7521725,183772.0,243986.0,87.0,1.0
1743570388.8299344,183791.0,243989.0,87.0,1.0
1743570388.9573038,183794.0,244057.0,87.0,1.0
1743570389.0353255,183787.0,244086.0,87.0,1.0
1743570389.153095,183778.0,244085.0,87.0,1.0
1743570389.2339761,183767.0,243961.0,87.0,1.0
1743570389.346493,183664.0,243860.0,87.0,1.0
1743570389.4362943,183645.0,243859.0,87.0,1.0
