Time,Red_light,IR_light,SpO2,SpO2Valid
1743569942.1454742,178189.0,239408.0,99.0,1.0
1743569942.219171,178182.0,239465.0,99.0,1.0
1743569942.3420503,178154.0,239382.0,99.0,1.0
1743569942.4223404,178073.0,239037.0,99.0,1.0
1743569942.5384977,178016.0,238987.0,99.0,1.0
1743569942.6305034,177965.0,239069.0,99.0,1.0
1743569942.7426007,177939.0,239078.0,99.0,1.0
1743569942.828922,177983.0,239153.0,99.0,1.0
1743569942.9470162,177995.0,239207.0,99.0,1.0
1743569943.0236096,177989.0,239256.0,99.0,1.0
1743569943.143778,177998.0,239324.0,99.0,1.0
1743569943.227846,177993.0,239095.0,99.0,1.0
1743569943.3469431,177891.0,239042.0,99.0,1.0
1743569943.4254675,177908.0,239089.0,99.0,1.0
1743569943.5489635,177880.0,239103.0,99.0,1.0
1743569943.6263902,177918.0,239207.0,99.0,1.0
1743569943.747822,177944.0,239305.0,99.0,1.0
1743569943.8269353,177958.0,239352.0,99.0,1.0
1743569943.952492,177992.0,239380.0,99.0,1.0
